id_usuario,nombre,apellido,direccion,correo_electronico,dni,edad,fecha_creacion,telefono,contrasena
 1,Kile,Styant,PO Box 95171,kstyant0@nih.gov,88134347,62,2023-11-27,7728881152,rO808484
 2,Carlynne,Prisk,Apt 1036,cprisk1@unesco.org,30207504,61,2023-08-31,8738851160,vR35544X
 3,Farris,Radoux,Suite 65,fradoux2@paypal.com,89397533,69,2023-12-15,7215837551,aC2V1srt
 4,Meredeth,Denisevich,Room 706,mdenisevich3@ezinearticles.com,21894281,44,2023-07-04,6719139613,sI0Tz854a
 5,Eva,Bascombe,Suite 64,ebascombe4@irs.gov,22198532,64,2023-09-13,4267684041,xP4d54
 6,Erma,Aimson,Room 1954,eaimson5@google.com.br,42615991,59,2024-03-04,8457846342,hV4m8dK
 7,Kamilah,Weekland,Room 1697,kweekland6@irs.gov,57743945,52,2023-09-20,5974795950,bN0TqB584
 8,Jim,Relf,8th Floor,jrelf7@plala.or.jp,53672430,43,2023-07-30,1181880890,wD5h545
 9,Luciana,Bestwerthick,7th Floor,lbestwerthick8@stumbleupon.com,15994966,50,2024-03-10,4576436434,mK2Bo75411
 10,Jacenta,Culwen,Room 695,jculwen9@pinterest.com,67132655,71,2023-08-31,2139844355,uJ00BmG454
 11,Trefor,Pervew,Suite 55,tpervewa@unesco.org,41462036,40,2023-10-30,7242895406,pN75549Ad
 12,Rutherford,Rainbird,Apt 459,rrainbirdb@unc.edu,46471973,41,2024-02-16,8604040449,iM65454wgx
 13,Nehemiah,Rudolph,13th Floor,nrudolphc@patch.com,44623997,45,2024-05-24,9039474650,hZ5G545A
 14,Kaia,Lucken,Apt 1905,kluckend@netvibes.com,27214313,18,2023-10-02,2623660259,eW054R53
 15,Tommie,Holde,Suite 77,tholdee@reddit.com,91131381,41,2024-02-23,6147946092,yZ6KZCsoQ
 16,Davon,Jell,PO Box 54609,djellf@hostgator.com,33286264,51,2023-06-15,5554350468,kJ04q6DU
 17,Kerwinn,Crinkley,15th Floor,kcrinkleyg@aol.com,93702438,47,2024-04-20,9281661504,iQ0VHng
 18,Ursula,Studd,20th Floor,ustuddh@mayoclinic.com,73638247,39,2023-06-19,7465867211,wR06265ju
 19,Claudine,Rogans,Suite 13,crogansi@amazon.de,29791043,74,2024-01-14,4062696986,dS754545
 20,Shandee,Brosini,PO Box 22835,sbrosinij@printfriendly.com,28717578,44,2024-03-24,9538046385,cC205454543
